Player, Score
Viktor Hovland, -19
Xander Schauffele, -19
Bryson DeChambeau, -18
Justin Rose, -16
Collin Morikawa, -15
Thomas Detry, -14
Shane Lowry, -14
Billy Horschel, -13
Scottie Scheffler, -13
Lee Hodges, -13
Alex Noren, -12
Rory McIlroy, -12
Taylor Moore, -12
Justin Thomas, -12
Dean Burmester, -12
Robert MacIntyre, -12
Sahith Theegala, -12
Ryo Hisatsune, -11
Keegan Bradley, -11
Austin Eckroat, -11
Maverick McNealy, -10
Tom Hoge, -10
Russell Henley, -10
Harris English, -10
Tommy Fleetwood, -9
Brooks Koepka, -9
Corey Conners, -9
Brian Harman, -9
Min Woo Lee, -9
Kurt Kitayama, -9
Ben Kohles, -9
Mark Hubbard, -9
Tom Kim, -9
Tony Finau, -9
Brice Garnett, -8
Doug Ghim, -8
Max Homa, -8
Hideki Matsuyama, -8
Jordan Smith, -7
Joaquin Niemann, -7
Alexander Björk, -7
Aaron Rai, -7
Dustin Johnson, -6
Grayson Murray, -6
Byeong Hun An, -6
Adam Svensson, -6
Lucas Glover, -6
Will Zalatoris, -6
Jason Day, -6
Matt Wallace, -6
Jordan Spieth, -6
Lucas Herbert, -6
Andrew Putnam, -5
Erik van Rooyen, -5
Patrick Cantlay, -5
Jesper Svensson, -5
Patrick Reed, -5
Thorbjørn Olesen, -5
Zac Blair, -5
Talor Gooch, -4
Adam Hadwin, -4
Gary Woodland, -4
S.H. Kim, -3
Rickie Fowler, -3
Cameron Young, -3
Tyrrell Hatton, -3
Cameron Smith, -3
Sebastian Soderberg, -2
Rasmus Højgaard, -2
Luke Donald, -2
Nicolai Højgaard, -2
Braden Shattuck, -1
Alejandro Tosti, 0
Martin Kaymer, 0
Ryan Fox, 2
Stephan Jaeger, 5
Jeremy Wells, 6
Brendon Todd, 9
Kyle Mendoza, 50
Peter Malnati, 50
C.T. Pan, 50
Keith Mitchell, 50
Ben Polland, 50
Ludvig Åberg, 50
Matt Fitzpatrick, 50
Jon Rahm, 50
Adrian Otaegui, 50
Christiaan Bezuidenhout, 50
Eric Cole, 50
Sami Valimaki, 50
Jesse Mueller, 50
Jason Dufner, 50
Taylor Pendrith, 50
Adam Schenk, 50
Charley Hoffman, 50
Adrian Meronk, 50
Akshay Bhatia, 50
Tim Widing, 50
Nick Taylor, 50
Sepp Straka, 50
Jake Knapp, 50
Andrew Svoboda, 50
Mackenzie Hughes, 50
Emiliano Grillo, 50
Vincent Norrman, 50
Beau Hossler, 50
Takumi Kanaya, 50
Sungjae Im, 50
David Puig, 50
Adam Scott, 50
Tyler Collet, 50
Sam Burns, 50
Evan Bowser, 50
Chris Gotterup, 50
Denny McCarthy, 50
Phil Mickelson, 50
Wyndham Clark, 50
Patrick Rodgers, 50
Ryan van Velzen, 50
Keita Nakajima, 50
Luke List, 50
Francesco Molinari, 50
Alex Smalley, 50
Nick Dunlap, 50
Y.E. Yang, 50
Wyatt Worthington II, 50
Chris Kirk, 50
Si Woo Kim, 50
J.T. Poston, 50
Jimmy Walker, 50
John Somers, 50
Andy Ogletree, 50
Tiger Woods, 50
Cam Davis, 50
Michael Block, 50
Kazuma Kobori, 50
Jared Jones, 50
Victor Perez, 50
Brad Marek, 50
Padraig Harrington, 50
Josh Speight, 50
Shaun Micheel, 50
Zac Oakley, 50
Thriston Lawrence, 50
Matthieu Pavon, 50
Josh Bevell, 50
Camilo Villegas, 50
Tracy Phillips, 50
Larkin Gross, 50
Matt Dobyns, 50
Preston Cole, 50
Jeff Kellen, 50
Rich Beem, 50
John Daly, 50
Ben Griffin, 50
K.H. Lee, 50
